n_qubits,p_parameters,active_rank,gap,width,W_over_Delta,g_min,g_max,kappa_H,kappa_S0,epsilon_crit,epsilon_halfcrit,K_at_halfcrit,commutator_norm
4,7,7,1.854420297095158,9.165458995529416,4.942492815618216,0.05133962761910681,0.28709094448009426,5.790413858588917,1.5765126952990622,0.004403845611971358,0.002201922805985679,5.366453337103566,0.021160694209752154
5,9,9,2.129378514168377,11.825490731702015,5.553493966910072,0.03452138313841581,0.28310960052006096,8.160266505972874,1.6359245083392027,0.008102051979517818,0.004051025989758909,6.856880236441473,0.020134095023608866
6,11,11,2.2719552072239084,14.35382148102115,6.317827673442567,0.025547304266990468,0.28157668822896675,10.484612426515959,1.7414186434251817,0.008424582261818666,0.004212291130909333,8.401220049979262,0.01992315664049872
7,13,13,2.3134492181238038,17.03862730054057,7.365031904334954,0.020490138678949808,0.28093931297779734,12.556381116142333,1.8163231328438592,0.007221385233795202,0.003610692616897601,9.960706510238643,0.019901431079410115
8,15,15,2.3233560027550944,19.556201490621973,8.417221238343041,0.017481526352072226,0.28066510230607433,14.287692244534009,1.8676265699054218,0.0060961207201205405,0.0030480603600602702,11.352456741438525,0.01989791540141138
